loss,accuracy,top_k_categorical_accuracy,val_loss,val_accuracy,val_top_k_categorical_accuracy,lr
2.1187973022460938,0.593664288520813,0.8631500005722046,3.2330031394958496,0.3228999972343445,0.6116999983787537,0.001
1.4907774925231934,0.774603545665741,0.9688214063644409,2.754840612411499,0.41670000553131104,0.713100016117096,0.001
1.3609617948532104,0.8146107196807861,0.9798428416252136,2.8004937171936035,0.40689998865127563,0.7125999927520752,0.001
1.2826091051101685,0.8385642766952515,0.9852071404457092,2.634143829345703,0.453900009393692,0.7484999895095825,0.001
1.2241404056549072,0.8568893074989319,0.9891785979270935,2.5292000770568848,0.47519999742507935,0.7720999717712402,0.001
1.1725716590881348,0.8742678761482239,0.9920607209205627,2.7219998836517334,0.4302999973297119,0.7422000169754028,0.001
1.1264839172363281,0.8901607394218445,0.9942678809165955,2.503424882888794,0.487199991941452,0.7792999744415283,0.001
1.08124577999115,0.9063214063644409,0.996064305305481,2.521821975708008,0.49570000171661377,0.7768999934196472,0.001
1.036324381828308,0.9237892627716064,0.9974892735481262,2.468021869659424,0.5038999915122986,0.792900025844574,0.001
0.995441198348999,0.9393571615219116,0.998535692691803,2.514746904373169,0.5,0.7888000011444092,0.001
0.9596512317657471,0.9534071683883667,0.9991142749786377,2.516824960708618,0.49880000948905945,0.7919999957084656,0.001
0.9289098381996155,0.9652571678161621,0.9995035529136658,2.5891687870025635,0.4982999861240387,0.776199996471405,0.001
0.9075353741645813,0.9725321531295776,0.9997285604476929,2.586390733718872,0.4984999895095825,0.7748000025749207,0.001
0.8866753578186035,0.9796464443206787,0.9998428821563721,2.5933876037597656,0.5055000185966492,0.7771000266075134,0.001
0.8746522068977356,0.9826393127441406,0.999914288520813,2.723400115966797,0.4738999903202057,0.7516999840736389,0.001
0.8615443110466003,0.9866071343421936,0.999921441078186,2.618687391281128,0.5034000277519226,0.7731999754905701,0.001
0.8557670712471008,0.9877892732620239,0.9999571442604065,2.705362558364868,0.4803999960422516,0.7578999996185303,0.001
0.8473250865936279,0.9894106984138489,0.9999714493751526,2.5799875259399414,0.5101000070571899,0.7814000248908997,0.001
0.8438705205917358,0.9900107383728027,0.9999678730964661,2.680025100708008,0.4902999997138977,0.7644000053405762,0.001
0.8385762572288513,0.9909392595291138,0.9999892711639404,2.720599889755249,0.4803999960422516,0.7613999843597412,0.001
0.8312510251998901,0.9928107261657715,0.9999892711639404,2.79388427734375,0.4722999930381775,0.7434999942779541,0.001
0.8329353928565979,0.9914857149124146,0.9999892711639404,2.6637344360351562,0.491100013256073,0.7641000151634216,0.001
0.8254744410514832,0.9932892918586731,0.9999892711639404,2.705153226852417,0.4909000098705292,0.7627000212669373,0.001
0.8261947631835938,0.9923750162124634,0.9999892711639404,2.709306240081787,0.4869999885559082,0.7616999745368958,0.001
0.8211168646812439,0.9937499761581421,0.999992847442627,2.77553129196167,0.4821999967098236,0.7576000094413757,0.001
0.8214793801307678,0.9932571649551392,0.9999821186065674,2.7606687545776367,0.48179998993873596,0.7547000050544739,0.001
0.8174929618835449,0.9941321611404419,0.9999892711639404,2.7627875804901123,0.48249998688697815,0.7505999803543091,0.001
